No,Study Action Number,Study Name,Facility,Project Phase,Cause,Consequence,Safeguard,Initial Risk,Recommendations,Residual Risk,Organisations,Discipline,Sub-Discipline,Future Actions,Due Date,Guideword,QueSeries,Deviation
11,CRA-DSV/PRECOMM - 011,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Personnel with medication plans, medical issues and restrictions / limitations

(Lesson learned from Phase 3 Pre-installation survey campaign)","1. Delays to mobilization, delays to complete work campaign",,,"To review AME medical reports and flag any DPDSV and Pre-Comm campaign critical position personnel with medication plans, medical issues and restrictions / limitations for working offshore, prior to MYSDS submissions.",,SFSB,EHS,EHS,,18/06/2021,,,
12,CRA-DSV/PRECOMM - 012,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. During previous campaign, Contractor only considered night shift on opportunity basis and provided minimal lighting

(Lesson Learned from previous work campaign)","1. Unsafe conditions, Unsafe acts - resulting in personnel injuries / fatality due to falls, incorrect handling of energized tools or equipment, falling from height, adverse weather, etc.and equipment / asset damage.",,,"To ensure that adequate lightings are provided at work locations onboard DPDSV / Pre-Comm Vessel and CPP to carry out planned platform interface activities during night time, e.g. during umbilical pull-in, pipeline pre-comm, etc.
",,SFSB,PMT,PMT,,18/06/2021,,,
13,CRA-DSV/PRECOMM - 013,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Inadequate / improper response to scenarios requiring emergency response (e.g. rescue at height), first aid and MEDEVAC during work activities.

- Work Activities at CPP, DPDSV, Pre-Commissioning Vessel and T&I support vessels","1. Unable to attend to, rescue or retrieve personnel in a safe and timely manner resulting in increased risks of personnel injuries / fatality.",,,"To update Project Offshore T&I ERP to include bridging to DPDSV, Pre-Comm and other T&I support vessels ERP including MEDEVAC within and outside 500m zone of BRG CPP during day and night time.",,SFSB,EHS,EHS,,18/06/2021,,,
14,CRA-DSV/PRECOMM - 014,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Operations during Adverse Weather conditions - High winds, sea states, low visibility conditions

2. Obstructions at Billy Pugh landing area on vessels

3. Miscommunication during operations.

4. Billy Pugh integrity issues / not valid for use","1. Unsafe conditions, Unsafe acts leading to Man overboard resulting in personnel injuries / fatalities and Billy Pugh equipment damage.",,,"To submit valid certificates for DPDSV crane, Billy Pugh, crane inspection and maintenance records, etc. for Hess TA approval, at least 1 month prior to mobilization.

",,SFSB,EHS,EHS,,18/06/2021,,,
15,CRA-DSV/PRECOMM - 015,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Operations during Adverse Weather conditions - High winds, sea states, low visibility conditions

2. Obstructions at Billy Pugh landing area on vessels

3. Miscommunication during operations.

4. Billy Pugh integrity issues / not valid for use","1. Unsafe conditions, Unsafe acts leading to Man overboard resulting in personnel injuries / fatalities and Billy Pugh equipment damage.",,,"To submit valid certificates for Pre-Comm vessel crane, Billy Pugh, crane inspection and maintenance records, etc. for Hess TA approval, at least 1 month prior to mobilization.

",,SFSB,EHS,EHS,,18/06/2021,,,
16,CRA-DSV/PRECOMM - 016,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Operations during Adverse Weather conditions - High winds, sea states, low visibility conditions

2. Obstructions at Billy Pugh landing area on vessels

3. Miscommunication during operations.

4. Billy Pugh integrity issues / not valid for use","1. Unsafe conditions, Unsafe acts leading to Man overboard resulting in personnel injuries / fatalities and Billy Pugh equipment damage.",,,"To ensure that proposed location of PTB landing area on DPDSV is marked up in the deck layout plan and also on vessel.

",,SFSB,EHS,EHS,,18/06/2021,,,
17,CRA-DSV/PRECOMM - 017,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Operations during Adverse Weather conditions - High winds, sea states, low visibility conditions

2. Obstructions at Billy Pugh landing area on vessels

3. Miscommunication during operations.

4. Billy Pugh integrity issues / not valid for use","1. Unsafe conditions, Unsafe acts leading to Man overboard resulting in personnel injuries / fatalities and Billy Pugh equipment damage.",,,To ensure that proposed location of PTB landing area on Pre-Comm vessel is marked up in the deck layout plan and also on vessel.,,SFSB,EHS,EHS,,18/06/2021,,,
18,CRA-DSV/PRECOMM - 018,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Operations during Adverse Weather conditions - High winds, sea states, low visibility conditions

2. Obstructions at Billy Pugh landing area.

3. Miscommunication during operations.

4. Billy Pugh integrity issues / not valid for use.

5. Inadequate lighting, support personnel, Incorrect PPE, etc. for night time operations","1. Unsafe conditions, Unsafe acts leading to Man overboard resulting in personnel injuries / fatalities and Billy Pugh equipment damage.

2. Unable to easily locate personnel in a man overboard scenario during night time, increasing risk of personnel injuries / fatalities.",,,"To reference DPDSV and Pre-Comm vessel crane emergency lowering procedures in the event of crane operational issues during personnel transfer operations, in the Project Personnel Transfer Procedure.",,SFSB,EHS,EHS,,18/06/2021,,,
19,CRA-DSV/PRECOMM - 019,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Loss of vessel control, essential equipment, DP capabilities - power failure, external environmental loadings, miscommunication, incompetent or untrained personnel, inadequate lightings and support personnel for night work activities, etc.

(DP 2 DPDSV and Pre-Commissioning Vessel)","1. When operations within 500m of BRG CPP - Uncontrolled vessel movement leading to contact / collision with BRG CPP / WHA when in drift on position, or other field marine vessels causing hull and/or structural damage resulting in personnel injuries / fatalities, damage to vessel and project equipment, due to direct hazard exposures or hazard escalations (E.g.  localized fire, man overboard, etc.).",,,"To ensure that all Project T&I relevant procedures are updated to reflect use of Sapura Constructor as DPDSV for work campaign, instead of MMA Prestige as currently reflected in the DPDSV T&I procedures.",,SFSB,PMT,PMT,,18/06/2021,,,
20,CRA-DSV/PRECOMM - 020,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,1. Blockage of DGPS when operating close to platform (Closest distance ~10m),"1. When operations within 500m of BRG CPP - Uncontrolled vessel movement leading to contact / collision with BRG CPP / WHA when in drift on position, or other field marine vessels causing hull and/or structural damage resulting in personnel injuries / fatalities, damage to vessel and project equipment, due to direct hazard exposures or hazard escalations (E.g.  localized fire, man overboard, etc.).
",,,To ensure DP reference points are located on WHA and CPP during DP vessel operations close to platform. To also ensure there are no interferences to reference points at proposed locations due to Sapura Constructor and Keyfield Falcon crane operations or other platform equipment operations within vicinity. To describe requirement in the T&I 500m vessel management procedure.,,SFSB,PMT,PMT,,18/06/2021,,,
21,CRA-DSV/PRECOMM - 021,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,1. Blockage of DGPS when operating close to platform (Closest distance ~10m),"1. When operations within 500m of BRG CPP - Uncontrolled vessel movement leading to contact / collision with BRG CPP / WHA when in drift on position, or other field marine vessels causing hull and/or structural damage resulting in personnel injuries / fatalities, damage to vessel and project equipment, due to direct hazard exposures or hazard escalations (E.g.  localized fire, man overboard, etc.).
",,,"To review DP system onboard DPDSV, assess if there are any limitations / restrictions when operating in DP mode close to platform and confirm adequacy of control measures in place, as part of DP assurance.",,SFSB,PMT,PMT,,18/06/2021,,,
22,CRA-DSV/PRECOMM - 022,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,1. Blockage of DGPS when operating close to platform (Closest distance ~10m),"1. When operations within 500m of BRG CPP - Uncontrolled vessel movement leading to contact / collision with BRG CPP / WHA when in drift on position, or other field marine vessels causing hull and/or structural damage resulting in personnel injuries / fatalities, damage to vessel and project equipment, due to direct hazard exposures or hazard escalations (E.g.  localized fire, man overboard, etc.).
",,,"To review DP system onboard Pre-Comm vessel, assess if there are any limitations / restrictions when operating in DP mode close to platform and confirm adequacy of control measures in place, as part of DP assurance.",,SFSB,PMT,PMT,,18/06/2021,,,
23,CRA-DSV/PRECOMM - 023,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Operations during adverse Weather conditions - High / Strong wind, High sea states, low visibility conditions, Lightning, etc.","1. Vessel contact /  collision with BRG CPP / WHA when in drift on position, or other field marine vessels in vicinity causing hull and/or structural damage resulting in personnel injuries / fatalities, damage to vessel and project equipment, due to direct hazard exposures or hazard escalations (E.g.  localized fire, man overboard, etc.).",,,"To ensure that a standby tug is within vicinity during DPDSV and Pre-Comm vessel operations close to CPP, to assist with emergency pull-out if required. To describe requirement in the T&I 500m Vessel Management Procedure.",,SFSB,MARINE,MARINE,,18/06/2021,,,
24,CRA-DSV/PRECOMM - 024,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,1. Inadequate lightings to support night work activities at BRG WHB,"1. Unsafe conditions, Unsafe acts - resulting in personnel injuries / fatality due to falls, falling from height or man overboard, adverse weather, etc.and equipment / asset damage.

2. Unable to rescue personnel in a safe and timely manner in the event of man overboard",,,"To ensure adequate lightings are provided for work activities on BRG WHB, e.g. through use of temporary lighting fixtures, etc. To describe requirement, site checks and mark-up of proposed lighting locations in the relevant DPDSV T&I Procedure.",,SFSB,PMT,PMT,,18/06/2021,,,
25,CRA-DSV/PRECOMM - 025,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,1. Inadequate lightings to support night work activities at BRG WHB,"1. Unsafe conditions, Unsafe acts - resulting in personnel injuries / fatality due to falls, falling from height or man overboard, adverse weather, etc.and equipment / asset damage.

2. Unable to rescue personnel in a safe and timely manner in the event of man overboard",,,"To ensure adequate lightings are provided for work activities on BRG WHB, e.g. through use of temporary lighting fixtures, etc. To describe requirement, site checks and mark-up of proposed lighting locations in the relevant Pre-Comm Procedure.",,SFSB,PMT,PMT,,18/06/2021,,,
26,CRA-DSV/PRECOMM - 026,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Inadequate / improper response to scenarios requiring emergency response (e.g. rescue at height), first aid and MEDEVAC during work activities.

- Work Activities at BRG WHB, DPDSV, Pre-Commissioning Vessel and T&I support vessels","1. Unable to attend to, rescue or retrieve personnel in a safe and timely manner resulting in increased risks of personnel injuries / fatality.",,,To submit DPDSV helideck valid certification for day / night operations to Hess for their review and appraisal.,,SFSB,EHS,EHS,,18/06/2021,,,
27,CRA-DSV/PRECOMM - 027,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Inadequate or unclear provisions for communication during emergency requiring personnel muster or evacuation

2. Inappropriate muster area location for T&I work activities - on board BRG WHB

3. Improper / Inadequate LSA equipment provision for personnel escape and evacuation considering max 35 pax on BRG WHB during T&I campaign

","1. Personnel unable to safely muster and communicate in emergency events resulting in increased risks of personnel injuries / fatalities.

1. Personnel unable to escape and evacuate in a safe and timely manner resulting in increased risks of personnel injuries / fatalities.



",,,"To ensure that proposed BRG WHB muster area including location of temporary LSA equipment (e.g. lifejackets, liferafts, etc.) onboard WHB for work campaign are reflected in the T&I Project ERP.",,SFSB,EHS,EHS,,18/06/2021,,,
28,CRA-DSV/PRECOMM - 028,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Insufficient / obstruction of work access and egress due to storage of temporary work campaign equipment and tools at BRG CPP

2. Improper storage of hazardous temporary equipment giving, e.g. pressurized bottle storage 

3. Improper waste management plan or inadequate provisions for collection and disposal of waste from work activities
","1. Unsafe work conditions, unsafe acts - resulting in increased risk of personnel injuries, equipment damage and disruptions to planned work activities",,,To develop an equipment layout plan showing designated storage location of temporary equipment on BRG WHB and describe work area controls required in a relevant T&I procedure.,,SFSB,PMT,PMT,,18/06/2021,,,
29,CRA-DSV/PRECOMM - 029,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Unavailability of BRG WHB crane during T&I work campaign - not tested for operations at site, no diesel fuel provision, crane breakdown, etc.

2. Unavailability of crane operators to support with BRG WHB crane operations for T&I work campaign",1. Unable to transfer project materials or personnel using BRG WHB crane leading to delays in complete work campaign activities,,,"To ensure that a relevant DPDSV T&I procedure is updated to reflect work activities for crane function test, removal of seafastening and preservation canvas, including crane fuel transfer, mobilization of crane operators considering 24 hours operations (with simultaneous use of DPDSV and BRG WHB crane per shift) and crane maintenance personnel.",,SFSB,PMT,PMT,,18/06/2021,,,
30,CRA-DSV/PRECOMM - 030,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Unavailability of BRG WHB crane during T&I work campaign - not tested for operations at site, no diesel fuel provision, crane breakdown, etc.

2. Unavailability of crane operators to support with BRG WHB crane operations for T&I work campaign",1. Unable to transfer project materials or personnel using BRG WHB crane leading to delays in complete work campaign activities,,,"To confirm if DPDSV / Pre-Commissioning Vessel cranes can be used for material and personnel transfer between vessels and BRG WHB. If confirmed, to ensure that safe work procedures are available for implementation during T&I work campaign.",,SFSB,MARINE,MARINE,,18/06/2021,,,
31,CRA-DSV/PRECOMM - 031,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Lifting operations during adverse weather conditions - High sea states, high winds, heavy rain, etc.","1. Unsafe work conditions, unsafe acts leading to dropped / swing objects resulting in personnel injuries / fatalities, and vessel damage requiring repair and rectifications resulting in delays to complete work campaign.

2. Dropped object to sea requiring recovery resulting in delays to complete work campaign",,,To ensure that T&I General Lifting Procedure is updated to describe weather limitations / restriction on use of BRG WHB crane for material and personnel transfers.,,SFSB,EHS,EHS,,18/06/2021,,,
32,CRA-DSV/PRECOMM - 032,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Blockage at boat landing area

2. Operations during Adverse Weather conditions - High winds, sea states

3. Incorrect / inadequate controls for transfer activities - Communication issues, unavailability of support personnel

4. Swing rope integrity issues / not valid for use","1. Unsafe conditions, Unsafe acts leading to Man overboard resulting in personnel injuries / fatality",,,To ensure T&I Personnel Transfer Procedure is updated to reflect safe work procedures and controls during personnel transfer via boat landing including verifications of swing rope for safe use at site.,,SFSB,EHS,EHS,,18/06/2021,,,
33,CRA-DSV/PRECOMM - 033,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Operations during Adverse Weather conditions - High winds, sea states, low visibility conditions

2. Obstructions at Billy Pugh landing area.

3. Miscommunication during operations.

4. Billy Pugh integrity issues / not valid for use.

5. Inadequate lighting, support personnel, Incorrect PPE, etc. for night time operations","1. Unsafe conditions, Unsafe acts leading to Man overboard resulting in personnel injuries / fatalities and Billy Pugh equipment damage.

2. Unable to easily locate personnel in a man overboard scenario during night time, increasing risk of personnel injuries / fatalities.",,,"To review current T&I Personnel Transfer Procedure with DPDSV and Pre-Comm Vessel Masters and ensure that controls described in the procedure checklist - Appendix 6 are relevant and will be adopted for the T&I work campaign, e.g. use of personnel strobe lights, FRC and jason cradle for rescue, minimum resource of marine team members for personnel transfer, floodlights for night personnel transfer, etc.
If not, to propose alternative control measures and review with Hess prior to mobilization. ",,SFSB,EHS,EHS,,18/06/2021,,,
34,CRA-DSV/PRECOMM - 034,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Operations during Adverse Weather conditions - High winds, sea states, low visibility conditions

2. Obstructions at Billy Pugh landing area.

3. Miscommunication during operations.

4. Billy Pugh integrity issues / not valid for use.

5. Inadequate lighting, support personnel, Incorrect PPE, etc. for night time operations","1. Unsafe conditions, Unsafe acts leading to Man overboard resulting in personnel injuries / fatalities and Billy Pugh equipment damage.

2. Unable to easily locate personnel in a man overboard scenario during night time, increasing risk of personnel injuries / fatalities.",,,To include scenario for rescue of man overboard during night time as part of planned emergency drills for DPDSV and Pre-Comm vessel. To describe in the Offshore T&I ERP.,,SFSB,EHS,EHS,,18/06/2021,,,
35,CRA-DSV/PRECOMM - 035,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Unavailability of ROV on demand during work campaign - due to technical failure, breakdown, integrity issues, prolonged operations, etc.

",1. Unable to perform planned work activities resulting in delays to complete work campaign.,,,To ensure that CV and certificate of proposed IMCA auditor for DPDSV T&I work campaign is submitted to Hess for review / appraisal.,,SFSB,PMT,PMT,,18/06/2021,,,
36,CRA-DSV/PRECOMM - 036,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Inexperienced crew

2. Improper / inaccurate crew competencies (falsified records)

3. Inadequate training for operations

4. Unaware / unfamiliar with diving system",1. Increased risk of personnel injuries / fatality when performing works underwater.,,,To ensure that Project Offshore T&I ERP is bridged to DPDSV diving ERP.,,SFSB,EHS,EHS,,18/06/2021,,,
37,CRA-DSV/PRECOMM - 037,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Improper work interface planning / sequencing, Miscommunication leading to clash of work activities between platform activities and diving operations",1. Unsafe work conditions due to dropped objects from platform resulting in diver injuries/fatalities,,,"To review work campaign schedule and ensure there are no clashes or concurrent works at diving operations area, e.g. platform overboard activities during diving operations close to CPP.",,SFSB,PMT,PMT,,18/06/2021,,,
38,CRA-DSV/PRECOMM - 038,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Directive by authority on COVID-19 controls - dynamic changes in requirement based on number of active cases 

2. Travel restrictions due to current Movement Control Order (MCO) enforcement

(Lesson Learned from previous work campaign)","1. Delays in mobilization of personnel, resulting in delays to complete work campaign.
",,,"To obtain latest information from authorities on COVID-19 SOPs required for DPDSV and Pre-Comm vessel entering to Johor port / TBSB including mobilization of work campaign personnel to Sapura Constructor and Keyfield Falcon, e.g. quarantine, RT-PCR test, etc. To then review project mobilization plan and project schedule.",,SFSB,EHS,EHS,,18/06/2021,,,
39,CRA-DSV/PRECOMM - 039,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Directive by authority on COVID-19 controls - dynamic changes in requirement based on number of active cases 

2. Travel restrictions due to current Movement Control Order (MCO) enforcement

(Lesson Learned from previous work campaign)","1. Delays in mobilization of personnel, resulting in delays to complete work campaign.
",,,"To submit list of DPDSV T&I work campaign project personnel with their proposed mobilization point, i.e. Johor port or TBSB.",,SFSB,PMT,PMT,,18/06/2021,,,
40,CRA-DSV/PRECOMM - 040,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Vessel housekeeping was found unsatisfactory during arrival and vessel hygiene report not meeting third party requirement

(Lesson Learned from previous work campaign)
",1. Delays to mobilization due to longer duration for housekeeping and submission of hygiene report for review / approval,,,"To confirm plan for DPDSV and Pre-Comm vessel hygiene inspections including sanitization plan, and communicate with Hess. To also confirm SOP requirement for visitor performing vessel inspections.",,SFSB,EHS,EHS,,18/06/2021,,,
41,CRA-DSV/PRECOMM - 041,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,1. Vessel sidewalk during pipeline lowering - exceeding 4m as currently assessed in the Pipeline Installation Analysis Report,"1. Excessive tension / compression or increased stress leading to pipeline deformities or buckle during lifting and sidewalk, requiring repair and rectification works resulting in delays to complete work campaign 

2. Unable to lower pipeline on target route, requiring rectification works resulting in delays to complete work campaign",,,"To assess if holdback wire is required during pipeline lowering, considering vessel sidewalk.",,SFSB,PIPELINE,PIPELINE,,18/06/2021,,,
