No,Study Action Number,Study Name,Facility,Project Phase,Cause,Consequence,Safeguard,Initial Risk,Recommendations,Residual Risk,Organisations,Discipline,Sub-Discipline,Future Actions,Due Date,Guideword,Queseries,Deviation
93,DDE-DLA/TRT-KGA-SAFOP-011,SAFOP Close Out Report,KGA,DDE,"C006 - KGA: LV DOL Motor Feeder

Live space heater during maintenance at motor.

There is no safety switch for space heater. Only emergency stop is specified.",-,Safety switch for space heater isolation at RCU.,-,To confirm if isolation of space heater is available at the LV switchrack side. To ensure isolation of space heater supply is available.,-,PRW,Electrical,Electrical,,30/7/2021,Motor,,Electrocution - Direct Contact
94,DDE-DLA/TRT-KGA-SAFOP-012,SAFOP Close Out Report,KGA,DDE,"C007 - KGA: LV MOV Feeder

High starting current of MOV.",Nuisance trip during motor starting.,-,-,To correctly size the MCB suitable with MOV rating and its starting current to prevent nuisance trip of MCB during starting.,-,PRW,Electrical,Electrical,,30/7/2021,Over,,Current
95,DDE-DLA/TRT-KGA-SAFOP-013,SAFOP Close Out Report,KGA,DDE,"C007 - KGA: LV MOV Feeder

High starting current of MOV.",Nuisance trip during motor starting.,-,-,To review coordination by switchrack vendor.,-,PRW,Electrical,Electrical,,30/7/2021,Over,,Current
96,DDE-DLA/TRT-KGA-SAFOP-014,SAFOP Close Out Report,KGA,DDE,"C008 - KGA: LV Heat Tracing DB Feeder

MCB rating of 10A for heat tracing outgoing feeder for 13kW load.",Feeder trips due to breaker overload.,-,-,To update the SLD for heat tracing feeder MCB rating of 10A to be consistent with the heat tracing DB incomer breaker rating at downstream.,-,PRW,Electrical,Electrical,,30/7/2021,Low,,Rating
97,DDE-DLA/TRT-KGA-SAFOP-015,SAFOP Close Out Report,KGA,DDE,"C008 - KGA: LV Heat Tracing DB Feeder

Coordination between heat tracing DB and upstream breakers not yet available.",Nuisance trip during downstream earth fault.,-,-,To review MCB rating and coordination of MCBs proposed by Vendor.,-,PRW,Electrical,Electrical,,30/7/2021,Inadequate,,Protection and control
98,DDE-DLA/TRT-KGA-SAFOP-016,SAFOP Close Out Report,KGA,DDE,"C009 - KGA: LV AC Lighting & Small Power DB

MCB rating not coordinated.",Nuisance trip during fault at downstream.,-,-,To ensure rating of MCB are coordinated between upstream and downstream MCBs (e.g. DB incomer & LV switchrack outgoing feeder).,-,PRW,Electrical,Electrical,,30/7/2021,Inadequate,,Protection and control
99,DDE-DLA/TRT-KGA-SAFOP-017,SAFOP Close Out Report,KGA,DDE,"C010 - KGA: 24V DC UPS

Low battery autonomy for operation purpose.",Control supply to motorised MCCB autonomy time not standardized which may cause operational issues.,-,-,"To re-look on the battery autonomy standardization for the switchrack motorised MCCB at remote platform. i.e. change from 1 hour to 12 hours autonomy.

Note:
Using timer for different autonomy requirements.",-,PRW,Electrical,Electrical,,30/7/2021,No,,Power
100,DDE-DLA/TRT-KGA-SAFOP-018,SAFOP Close Out Report,KGA,DDE,"C010 - KGA: 24V DC UPS

Failure of timer to open relevant shorter autonomy feeders leading to lesser available battery autonomy.","Failure of timer will not be monitored, and required battery autonomy cannot be met.

Note: battery discharge operation will trigger an alarm. Status of breaker is also monitored.",-,-,To check with UPS Vendor on any indication on timer failure. Failure of timer shall send an alarm for timely intervention.,-,PRW,Electrical,Electrical,,30/7/2021,Low,,Power
101,DDE-DLA/TRT-KGA-SAFOP-019,SAFOP Close Out Report,KGA,DDE,"C010 - KGA: 24V DC UPS

Fault at 24V DC DB bus which is single bus design, and single feeder.","Total power loss to essential loads.

Note:
The single bus, and single feeder for essential loads is similar design with existing installation. Concern on single failure mode at the single contactor.
Opportunity for improvement for future projects: having separate bus or DB design, and redundant feeders. Loss of one bus will not cause total loss of essential loads.",-,-,"To provide redundant contactor incomer for the 12 hours and 96 hours autonomy bus. Alternatively, to replace contactor with motorised MCCB due to higher reliability.",-,PRW,Electrical,Electrical,,30/7/2021,No,,Power
102,DDE-DLA/TRT-KGA-SAFOP-020,SAFOP Close Out Report,KGA,DDE,"C010 - KGA: 24V DC UPS

Maintenance cannot be carried out during operation due to single feeder design to essential loads.",-,Shutdown period for maintenance.,-,To include in operation and maintenance document that any maintenance works shall only be done during unit/platform shutdown period.,-,HESS,Operations,Operations,,17/10/2021,Distribution Board,,OI Procedure - Checklist
103,DDE-DLA/TRT-KGA-SAFOP-021,SAFOP Close Out Report,KGA,DDE,"C012 - KGA: Navigational Aids & AOL Layout

Solar array panel for the marine lantern is located at cellar deck level which will have shading effects from nearby taller structures.",Long term damage to solar array panel due to hot spots from shading effects.,-,-,To check and verify on the solar array panel location for the marine lantern with respect to shading effects of nearby taller structures against the solar array panel performance.,-,PRW,Electrical,Electrical,,30/7/2021,Low,,Power
104,DDE-DLA/TRT-KGA-SAFOP-022,SAFOP Close Out Report,DLA-TRC,DDE,"C016 - DLA/TRC: 24V DC Solar System

No specific alarm for solar control failure.
Only common alarm and battery alarm are available.",Failure of solar controller cannot be known directly at CPP. Operation will need to mobilize to the remote platform to identify the specific failure.,-,-,"To check the possibility for additional specific alarm (e.g. solar charge controller failure) instead of just common alarm to be sent to CPP. If feasible, to include the specific failure mode alarms (e.g. for solar charge controller failure).",-,PRW,Electrical,Electrical,,30/7/2021,No,,Protection and control
105,DDE-DLA/TRT-KGA-SAFOP-023,SAFOP Close Out Report,DLA-TRC,DDE,"C016 - DLA/TRC: 24V DC Solar System

Fault at the solar DC bus.

Fault of DC DB feeder switch or MCCB.","Loss of one solar supply module will reduce total supply capacity by 33%.
Total autonomy will be reduced.",-,-,"To calculate remaining battery supply autonomy available if 1 x 33% solar system is loss, and include the information in the solar sizing document.

Note:
By simple estimation, 3 days autonomy will still be available after loss of one solar system module.",-,PRW,Electrical,Electrical,,30/7/2021,Over,,Current
106,DDE-DLA/TRT-KGA-SAFOP-024,SAFOP Close Out Report,DLA-TRC,DDE,"C016 - DLA/TRC: 24V DC Solar System

Maintenance or faulted component replacement at one solar system module will require that module shutdown.","Loss of one solar supply module will reduce total supply capacity by 33%.
Total autonomy will be reduced.",-,-,"To include in the operation and maintenance document on the need for module shutdown for maintenance, or faulted component replacement activities.",-,HESS,Operations,Operations,,17/10/2021,No,,Power
107,DDE-DLA/TRT-KGA-SAFOP-025,SAFOP Close Out Report,DLA-TRC,DDE,"C017 - DLA/TRC: 24V DC Distribution Board

Escape lighting cannot be differentiated from the normal lighting in the SLD.",Operational issues during maintenance activities.,-,-,To differentiate the escape lighting than the normal lighting on the SLD (via description). To clearly indicate which one is the escape or normal lighting.,-,PRW,Electrical,Electrical,,30/7/2021,Unclear - system,,Tagging
108,DDE-DLA/TRT-KGA-SAFOP-026,SAFOP Close Out Report,DLA-TRC,DDE,"C017 - DLA/TRC: 24V DC Distribution Board

Amber colour indication for spare incomer compared to red colour for other incomers",Confusion during operation which may cause delay in response during emergency.,-,-,To amend the incoming supply indication light for the spare incomer. To standardize the colour with to existing installation.,-,PRW,Electrical,Electrical,,30/7/2021,Wrong,,Indicator - Metering
109,DDE-DLA/TRT-KGA-SAFOP-027,SAFOP Close Out Report,DLA-TRC,DDE,"C018 - DLA/TRC: AC/DC Inverter

Details of protection not available.",Fault at heat tracing may cause incomer breaker to trip which lead to total power loss to DC DB.,-,-,To specify earth fault protection for the heat tracing inverter.,-,PRW,Electrical,Electrical,,30/7/2021,No,,Protection and control
110,DDE-DLA/TRT-KGA-SAFOP-028,SAFOP Close Out Report,DLA-TRC,DDE,"C020 - DLA/TRC: 400/230 V LV Switchrack

anti-condensation heater power consumption requirement not captured in the solar system and battery sizing consideration.","High consumption from anti-condensation heater may affect battery autonomy for operational loads.

Note:
anti-condensation heater is indicated as provision only in the drawing.
LV switchrack in existing installation (e.g. Anggerik) does not have anti-condensation heater.",-,-,To verify on the anti-condensation heater power consumption impact against solar system & battery sizing/autonomy.,-,PRW,Electrical,Electrical,,30/7/2021,Low,,Power
111,DDE-DLA/TRT-KGA-SAFOP-029,SAFOP Close Out Report,DLA-TRC,DDE,"C020 - DLA/TRC: 400/230 V LV Switchrack

12127-ES-01 LV switchrack is not energized (dead) most of the time during operation. Flashover or short circuit may happen during energization due to water ingress or condensation inside the enclosure.",-,"Inspection for good condition prior to energization.

Note:
anti-condensation heater provision is available (pending verification on the anti-condensation heater details. anti-condensation heater can be operated prior to energization to minimize condensation effect.",-,"Subject to the anti-condensation heater provision for the LV switchrack, if anti-condensation heater cannot be provided, to include in the operation and maintenance document on the need to thoroughly inspect the 12127-ES-01 LV switchrack (e.g. for water ingress, condensation, etc.) prior to energization. To provide physical warning sign and notes on the LV switchrack on the need for thorough inspection prior to energization.",-,PRW,Electrical,Electrical,,30/7/2021,Distribution Board,,Fire/Explosion - Flashover
112,DDE-DLA/TRT-KGA-SAFOP-030,SAFOP Close Out Report,DLA-TRC,DDE,"C021 - DLA/TRC: 24V DC Battery Charger

DC charger is not energized (dead) most of the time during operation. Flashover or short circuit may happen during energization due to water ingress or condensation inside the enclosure.",-,Inspection for good condition prior to energization.,-,"To include in the operation and maintenance document on the need to thoroughly inspect the DC charger (e.g. for water ingress, condensation, etc.) prior to energization.
",-,HESS,Operations,Operations,,17/10/2021,Distribution Board,,Fire/Explosion - Flashover
113,DDE-DLA/TRT-KGA-SAFOP-031,SAFOP Close Out Report,DLA-TRC,DDE,"C021 - DLA/TRC: 24V DC Battery Charger

DC charger is not energized (dead) most of the time during operation. Flashover or short circuit may happen during energization due to water ingress or condensation inside the enclosure.",-,Inspection for good condition prior to energization.,-,To provide physical warning sign and notes on the LV switchrack on the need for thorough inspection prior to energization.,-,PRW,Electrical,Electrical,,30/7/2021,Distribution Board,,Fire/Explosion - Flashover
114,DDE-DLA/TRT-KGA-SAFOP-032,SAFOP Close Out Report,DLA-TRC,DDE,"C025 - DLA/TRC: Electrical Equipment Layout

Shading effect of the pedestal crane on the solar array panels nearby the crane structure.","Solar array panels power performance will be affected. Insufficient solar power supply will trigger battery discharge operation.

Shading effect may also affect lifetime of the solar array panels.

Note:
Shading effect is minimized during normal operation with the crane boom resting point will be away from the solar panel area.",-,-,To check and verify on the solar array panel location with respect to shading effects of nearby taller structures against the solar array panel performance.,-,PRW,Electrical,Electrical,,30/7/2021,Low,,Power
115,DDE-DLA/TRT-KGA-SAFOP-033,SAFOP Close Out Report,DLA-TRC,DDE,"C025 - DLA/TRC: Electrical Equipment Layout

Door of the enclosure may obstruct the escape route.",-,Escape route clearance.,-,To finalize the equipment layout with consideration of escape route and open enclosure door operation during maintenance activities at the area.,-,PRW,Electrical,Electrical,,30/7/2021,Substation,,Mechanical Hazard - Escape Route
116,DDE-DLA/TRT-KGA-SAFOP-034,SAFOP Close Out Report,DLA-TRC,DDE,"C026 - DLA/TRC: Navigational Aids Layout

Solar array panel for the marine lantern is located closer to pedestal crane structure which may get shading effect.",Long term damage to solar array panel due to hot spots from shading effects.,-,-,To check and verify on the solar array panel location for the marine lantern with respect to shading effects of nearby taller structures against the solar array panel performance.,-,PRW,Electrical,Electrical,,30/7/2021,Low,,Power
117,DDE-DLA/TRT-KGA-SAFOP-035,SAFOP Close Out Report,CPP,DDE,"C031 - CPP: CPP Tie-in for Pig Receiver

MOV starting.",16A MCB may trip during MOV starting operation.,-,-,To correctly size the MCB suitable with MOV rating and its starting current to prevent nuisance trip of MCB during starting.,-,PRW,Electrical,Electrical,,30/7/2021,Over,,Current
118,DDE-DLA/TRT-KGA-SAFOP-036,SAFOP Close Out Report,CPP,DDE,"C031 - CPP: CPP Tie-in for Pig Receiver

MOV starting.",16A MCB may trip during MOV starting operation.,-,-,To review coordination by switchrack vendor.,-,PRW,Electrical,Electrical,,30/7/2021,Over,,Current
119,CONCEPT-KGA-HZD-001,NMB Phase 4A Concept Definition - HAZID Report,KGA,CONCEPTUAL,"Intermittent venting from the Cold Vent Tip during manual venting (initiated remotely at
CPP), process upsets requiring emergency relief and pigging operations.","Potential flash fire on the Main Deck, if ignited, causing personnel injury/ fatality.","1. Cold Vent Tip location will be verified based on worst case wind scenario (e.g. blowback towards platform) for flammable gas and radiation.
2. Ignition control
3. Certification of electrical equipment based on Hazardous Area Classification and earthing on equipment and structures (All instrument for Kangsar WHP shall be Zone 1, Gas group IIA, Temperature T3, all electrical equipment will be zone 2 certified except GEG (24125-GY-01A/B) and DEG (24128-GY-01).
4. Rescue facilities, i.e. Support Vessel/ Helicopter, life buoys",4B,"Gas Dispersion and Radiation Study for the Cold Vent Tip to be performed in Detailed Design to confirm the suitability of the Cold Vent Tip location. The study shall consider the following as  minimum:
a. Unignited release - Flammable gas impact on designated sensitive receivers on the facility (e.g. crane cabin, manned areas etc);
b. Ignited release - Radiation impact
c. impact of mercury dispersion and/ or any other potential toxic gases.
d. exhaust (including crane exhaust) as potential ignition sources",4A,PRW,EHS FEED,EHS-KGA,,9/7/2021,Hydrocarbons,,1.06. Hydrocarbon gas
120,CONCEPT-KGA-HZD-002,NMB Phase 4A Concept Definition - HAZID Report,KGA,CONCEPTUAL,"SIPROD Vent - Emergency venting during SIPROD (process upset, emergency blowdown).",Potential high radiation levels at secondary muster area located on Mezzanine Deck below resulting in inability of personnel to muster during emergency scenario.,"1. Helideck acting as an inherent shield to protect Secondary muster area below on Mezzanine Deck from high radiation levels.
2. Vent tip will be routed to safe location based on findings of SIPROD Vent Radiation and Dispersion Study. 
3. Ignition control
4. Certification of electrical equipment based on Hazardous Area Classification and earthing on equipment and structures (All instrument for Kangsar WHP shall be Zone 1, Gas group IIA, Temperature T3, all electrical equipment will be zone 2 certified except GEG (24125-GY-01A/B) and DEG (24128-GY-01).
5. Rescue facilities, i.e. Support Vessel/ Helicopter, life buoys",5B,"Gas Dispersion and Radiation Study for the SIPROD Vent Tip to be performed in Detailed Design to confirm the suitability of the SIPROD Vent Tip location. The study shall consider the following as minimum:
a. Unignited release - Flammable gas impact on designated sensitive received on the facility (e.g. crane cabin, manned areas etc);
b. Ignited release - Radiation impact
c. impact of mercury dispersion and/ or any other potential toxic gases.
d. exhaust (including crane exhaust) as potential ignition sources",5A,PRW,EHS FEED,EHS-KGA,,9/7/2021,Hydrocarbons,,1.06. Hydrocarbon gas
121,CONCEPT-KGA-HZD-003,NMB Phase 4A Concept Definition - HAZID Report,KGA,CONCEPTUAL,Internal corrosion,"1. Potential loss of containment (estimated volume is 2m3) leading to pool fire if ignited causing personnel injury/ fatality and asset damage. 

2. Slips and falls on accumulated liquid releases
","1. Material selection (stainless steel)
2. Operating and maintenance procedures
3. Ignition control
4. Certification of electrical equipment based on Hazardous Area Classification and earthing on equipment and structures (All instrument for Kangsar WHP shall be Zone 1, Gas group IIA, Temperature T3, all electrical equipment will be zone 2 certified except GEG (24125-GY-01A/B) and DEG (24128-GY-01))
5. Coaming provided for methanol tank 

1. Material selection (stainless steel)
2. Operating and maintenance procedures
3. First Aid Kit
4. Medivac",3B,Review the need for additional safeguards taking into consideration that the methanol tank may be left connected on platform; when  the platform is unmanned and in operations (producing).,3B,PRW,Instrument FEED,Instrument,,16/7/2021,Refined Hydrocarbons,,2.05. Methanol
122,CONCEPT-KGA-HZD-005,NMB Phase 4A Concept Definition - HAZID Report,KGA,CONCEPTUAL,"Hardware and control systems failure (e.g. rotor, engine, indicators)",Helicopter ditch into the sea leading to personnel injury/ fatality,"1. Air Worthiness Inspection and Certification
2. Helicopter Maintenance Programme
3. Audit of Aviation Service Contractor
4. Helicopter Operating Procedure (Automatic initiation of floatation of devices)
5. Life jackets and life saving/ survival facilities in helicopter
6. Emergency Response Plan (ERP)
7. Rescue facilities, i.e. Support Vessel/ Helicopter, life buoys",5B,"Conduct a exhaust thermal plume and dispersion study to assess potential impact on helideck, considering a suitable (mean) ambient temperature. 

Note: A preliminary assessment was conducted as part of the  concept selection study/ report to check if there was any significant impact to the helideck.",5B,PRW,EHS FEED,EHS-KGA,,9/7/2021,Dynamic Situation Hazards,,8.02. In air transport (flying)
123,CONCEPT-KGA-HZD-008,NMB Phase 4A Concept Definition - HAZID Report,KGA,CONCEPTUAL,"Extreme waves height, current, tide surge and high swell",Damage to equipment on decks close to sea surface i.e. riser ESDV platform (future) and Helideck Premix Foam System,"1. Emergency Response Plan (ERP)
2. Personal Protective Equipment (PPE) i.e. life
jackets/ work vests
3. Rescue facilities, i.e. Support Vessel, life buoys",A,"Review and verify that the design of riser ESDV platform (future) and Helideck Premix Foam System has been checked against the latest Metocean Data, in view of potential wave impact.",-,PRW,Structural FEED,Structural,,23/7/2021,Environmental Hazards,,9.02. Sea state / river currents
124,CONCEPT-KGA-HZD-009,NMB Phase 4A Concept Definition - HAZID Report,KGA,CONCEPTUAL,Seabed movement causing lowering of deck elevation over a prolonged period of time,Reduced air gap of decks leading to sinking of platform over a prolonged period of time,-,A,Verify the air gap allowance considered in Kangsar design. ,-,PRW,Structural FEED,Structural,,23/7/2021,Environmental Hazards,,9.04. Subsidence
125,CONCEPT-KGA-HZD-010,NMB Phase 4A Concept Definition - HAZID Report,KGA,CONCEPTUAL,Utilization of microwaves,Potential health effect due to telecom equipment operations,-,-,"Check the intensity of the microwaves in the vicinity of the Digital  Microwave Antenna on the Main Deck and the Mezzanine Deck. In the event that the intensity exceeds acceptable criteria, provide additional required safety features on the platform to prevent 
personnel exposure to microwaves.",-,PRW,Telecom FEED,Telecom,,9/7/2021,Electromagnetic Radiation,,16.03. Microwaves
126,CONCEPT-KGA-HZD-012,NMB Phase 4A Concept Definition - HAZID Report,KGA,CONCEPTUAL,SIPROD - Leakage of mud return line.,"1. Potential mud spill (minor release) to environment leading to marine pollution. 
2. Potentially clogging of open drain points due to mud accumulation.",1. Rig shaker is located on the rig which is provided with coaming. No equipment with significant mud inventory located on the platform.,1C,Confirm means to protect/ seal off drain points on Main Deck from potential mud accumulation during drilling phase.,1C,PRW,Structural FEED,Structural,,23/7/2021,Toxic Solids,,22.08. Oil based muds
127,CONCEPT-KGA-HZD-016,NMB Phase 4A Concept Definition - HAZID Report,KGA,CONCEPTUAL,Breakdown of In-field vessel due to failure of engine,"Loss of hydrocarbon containment leading to fire events, if ignited, in the event of boat collision with bracing causing personnel injury/ fatality.","1. Risers are located within the jacket structure as such it is not expected to be vulnerable to vessel impact (inherent safety design)
2. Platform jacket legs, boat landings and fenders are designed for accidental impact from the drifting collision of infield Support Vessels, which could help in reducing the impact due to vessel collision
3. Riser guard will be provided for future riser which is located outside of the platform jacket legs
4.Fire and Gas Detection System
5.Emergency Shutdown System
6.Emergency Response Plan (ERP)
7.Escape routes
8.Muster area
9. Life rafts
10. Personal Protective Equipment (PPE), i.e. life jacket
11. Rescue facilities, i.e. Support Vessel/ Helicopter, life buoys",5B,Review the safety gap between the conductors and jacket structure  in view of the increase in conductor size.,5B,PRW,EHS FEED,EHS-KGA,,30/7/2021,Dynamic Situation Hazards,,8.03. Boat Collision hazard to other vessels and offshore structures
128,CONCEPT-DLA/DRT-HZD-001,NMB Phase 4A Concept Definition - HAZID Report,DLA-TRC,CONCEPTUAL,SIPROD - Breathing of vent system when there is manual draining into the portable drain tote tank,Potential ignition of vent resulting in high radiation levels causing personnel injuries,"1. Flame Arrestor
2. Vent located away from manned location.",3B,"Ensure the portable drain tote tank vent is routed to safe location away from hazardous area, considering SIPROD operations.",3B,PRW,EHS FEED,EHS-DLA/TRT,,30/7/2021,Hydrocarbon,,1.06. Hydrocarbon gas
129,CONCEPT-DLA/DRT-HZD-002,NMB Phase 4A Concept Definition - HAZID Report,DLA-TRC,CONCEPTUAL,SIPROD - Breathing of vent system when there is manual draining into the portable drain tote tank,Potential ignition of vent resulting in high radiation levels causing personnel injuries,"1. Flame Arrestor
2. Vent located away from manned location.",3B,"Verify the location and orientation of the vent tip termination point and indicate on the layouts. Gas Dispersion and Radiation Study for the Vent Tip (SIPROD and Normal Operations) to be performed in Detailed Design to confirm the location suitability of. The study shall consider the following as minimum:
a. Unignited release - Flammable gas impact on designated sensitive received on the facility (e.g. crane cabin, manned areas etc);
b. Ignited release - Radiation impact
c. impact of mercury dispersion and/ or any other potential toxic gases.
d. exhaust (including crane exhaust) as potential ignition sources",3B,PRW,EHS FEED,EHS-DLA/TRT,,30/7/2021,Hydrocarbon,,1.06. Hydrocarbon gas
130,CONCEPT-DLA/DRT-HZD-003,NMB Phase 4A Concept Definition - HAZID Report,DLA-TRC,CONCEPTUAL,"Lifting activities and accessories during well intervention activities: 
- Possible dropped object/swing load impact on solar panels.
- Crane mechanical failure
- Crane and other lifting accessories (e.g. slings) wear and tear, corrosion
- Overloading
- Unfavourable weather & sea conditions
- Crane operator / banksman error
- Failure to secure loads
- Snag load ","Potential personnel injury / fatality and asset / equipment damage, including possibility of boom collapse.
2.Dropped object on live HC equipment / piping or subsea pipeline could lead to loss of HC containment resulting in fire/ explosion hazards (H-01 above). Potential personnel injury / multiple fatalities and asset damage.",1.Weather restriction for lifting operations,5B,"Conduct Topside and Pipeline Dropped Object Study to be conducted in Detailed Design. 

Topside Dropped Object Study shall include, as minimum:
a. lifting of well intervention related equipment Maximum load of 5 tonnes to be considered for assessment.
b. swing load hazard towards solar panel on Main deck.

Pipeline Dropped Object Study shall include, as minimum:
a. Lifting of well intervention related equipment. Maximum load of 5 tonnes to be considered for assessment.",5B,PRW,EHS FEED,EHS-DLA/TRT,,30/7/2021,Hazard Associated With Differences In Height,,6.03. Overhead equipment
131,CONCEPT-DLA/DRT-HZD-005,NMB Phase 4A Concept Definition - HAZID Report,DLA-TRC,CONCEPTUAL,"Passing / Errant vessels:
- External/ Passing Vessel under power on collision course due to loss of control
- Adverse weather condition",Potential platform structural damage and collapse. Structural failure could lead to escalation resulting in loss of hydrocarbon containment. Potential injury/ multiple fatality and asset damage / production loss.,"1.Navigational aids / Marine Lantern
2.Radar Beacon (RACON)
3.Safety Zone (500m Exclusion Zone)
4.Marine radios for communication between platform and vessel
5. Evacuation means :
- Normal Operation 
a. (Primary - Liferaft on Kangsar) 
b. (Secondary - direct descent to sea)
-During SIPROD 
a. (Primary - Life boat on drilling rig)
b. (Secondary - Liferaft on Kangsar) 
c. (Tertiary - direct descent to sea).
6. Standby Vessel provided as means of rescue
7. ERP
8.Medical Response / Medivac",5B,Review the shipping lane/traffic and assess risk of external vessel collision. ,5B,PRW,EHS FEED,EHS-DLA/TRT,,30/7/2021,Dynamic Situation Hazards,,8.03. Boat Collision hazard to other vessels and offshore structures
